saveFile,ImgCardSize,ImgTerrainNorth,ImgTerrainSouth,TextBonusNorth,TextBonusSouth,ImgIconNorthOne,ImgIconNorthTwo,ImgIconSouthOne,ImgIconSouthTwo
Domnio-015,cardSize.png,terrain_lava.png,terrain_sand.png,,,icon_heart.png,,icon_miniboss.png,
Domnio-025,cardSize.png,terrain_lava.png,terrain_sand.png,,,,,,
Domnio-035,cardSize.png,terrain_lava.png,terrain_sand.png,,,icon_die.png,icon_key.png,,
Domnio-045,cardSize.png,terrain_lava.png,terrain_sand.png,,,icon_heart.png,,icon_key.png,
Domnio-055,cardSize.png,terrain_lava.png,terrain_sand.png,,,,,icon_die.png,
Domnio-006,cardSize.png,terrain_lava.png,terrain_snow.png,,,icon_key.png,,,
Domnio-016,cardSize.png,terrain_lava.png,terrain_snow.png,,,,,icon_miniboss.png,icon_heart.png
Domnio-026,cardSize.png,terrain_lava.png,terrain_snow.png,,,,,,
Domnio-036,cardSize.png,terrain_lava.png,terrain_snow.png,,,icon_die.png,icon_key.png,icon_key.png,
Domnio-046,cardSize.png,terrain_lava.png,terrain_snow.png,,,,,,
Domnio-056,cardSize.png,terrain_lava.png,terrain_snow.png,,,icon_key.png,,icon_die.png,
Domnio-007,cardSize.png,terrain_lava.png,terrain_stone.png,,,,,,
Domnio-017,cardSize.png,terrain_lava.png,terrain_stone.png,,,icon_heart.png,,icon_miniboss.png,icon_key.png
Domnio-027,cardSize.png,terrain_lava.png,terrain_stone.png,,,icon_key.png,,,
Domnio-037,cardSize.png,terrain_lava.png,terrain_stone.png,,,,,icon_die.png,
Domnio-047,cardSize.png,terrain_lava.png,terrain_stone.png,,,icon_heart.png,,,
Domnio-057,cardSize.png,terrain_lava.png,terrain_stone.png,,,icon_die.png,icon_heart.png,icon_die.png,
Domnio-008,cardSize.png,terrain_sand.png,terrain_snow.png,,,icon_boss.png,,icon_key.png,
Domnio-018,cardSize.png,terrain_sand.png,terrain_snow.png,,,,,icon_miniboss.png,icon_key.png
Domnio-028,cardSize.png,terrain_sand.png,terrain_snow.png,,,icon_key.png,,,
Domnio-038,cardSize.png,terrain_sand.png,terrain_snow.png,,,,,icon_die.png,
Domnio-048,cardSize.png,terrain_sand.png,terrain_snow.png,,,,,,
Domnio-058,cardSize.png,terrain_sand.png,terrain_snow.png,,,icon_die.png,,,
Domnio-009,cardSize.png,terrain_sand.png,terrain_stone.png,,,,,icon_miniboss.png,
Domnio-019,cardSize.png,terrain_sand.png,terrain_stone.png,,,icon_key.png,,,
Domnio-029,cardSize.png,terrain_sand.png,terrain_stone.png,,,,,icon_die.png,icon_heart.png
Domnio-039,cardSize.png,terrain_sand.png,terrain_stone.png,,,icon_key.png,,,
Domnio-049,cardSize.png,terrain_sand.png,terrain_stone.png,,,,,,
Domnio-059,cardSize.png,terrain_sand.png,terrain_stone.png,,,icon_die.png,,icon_key.png,icon_heart.png
Domnio-010,cardSize.png,terrain_snow.png,terrain_stone.png,,,icon_boss.png,,,
Domnio-020,cardSize.png,terrain_snow.png,terrain_stone.png,,,,,icon_miniboss.png,
Domnio-030,cardSize.png,terrain_snow.png,terrain_stone.png,,,icon_heart.png,icon_key.png,,
Domnio-040,cardSize.png,terrain_snow.png,terrain_stone.png,,,,,icon_key.png,
Domnio-050,cardSize.png,terrain_snow.png,terrain_stone.png,,,icon_die.png,,,
Domnio-060,cardSize.png,terrain_snow.png,terrain_stone.png,,,icon_heart.png,,icon_miniboss.png,icon_heart.png
